cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3513603;Cunha;1407,25;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3513702;Descalvado;753,706;13;RA Central;9;Demais municípios;8;DRS Araraquara;35034;Coração do DRS III
3513801;Diadema;30,732;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3513850;Dirce Reis;88,133;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3513900;Divinolândia;223,749;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35143;Rio Pardo
3514007;Dobrada;149,729;13;RA Central;9;Demais municípios;8;DRS Araraquara;35033;Norte do DRS III
3514106;Dois Córregos;632,972;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35064;Jaú
3514205;Dolcinópolis;77,939;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3514304;Dourado;205,874;13;RA Central;9;Demais municípios;8;DRS Araraquara;35034;Coração do DRS III
3514403;Dracena;487,688;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3514502;Duartina;264,557;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35062;Bauru
3514601;Dumont;111,376;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3514700;Echaporã;515,258;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3514809;Eldorado;1654,256;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3514908;Elias Fausto;202,36;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3514924;Elisiário;93,98;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3514957;Embaúba;83,129;14;RA Barretos;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3515004;Embu das Artes;70,398;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3515103;Embu-Guaçu;155,641;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3515129;Emilianópolis;225,167;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3515152;Engenheiro Coelho;109,941;6;RA Campinas;3;RM Campinas;11;DRS Piracicaba;35102;Limeira
3515186;Espírito Santo do Pinhal;389,235;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3515194;Espírito Santo do Turvo;193,666;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
