cod_ibge;municipio;area_km;cod_ra;ra;cod_rm;rm;cod_drs;drs;cod_r_saude;r_saude
3547700;Santo Anastácio;552,876;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3547809;Santo André;175,782;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3547908;Santo Antônio da Alegria;310,311;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35133;Vale das Cachoeiras
3548005;Santo Antônio de Posse;154,133;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3548054;Santo Antônio do Aracanguá;1308,432;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3548104;Santo Antônio do Jardim;109,956;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3548203;Santo Antônio do Pinhal;133,008;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3548302;Santo Expedito;94,465;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3548401;Santópolis do Aguapeí;128,026;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3548500;Santos;281,033;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3548609;São Bento do Sapucaí;252,579;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3548708;São Bernardo do Campo;409,532;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3548807;São Caetano do Sul;15,331;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35015;Grande ABC
3548906;São Carlos;1136,907;13;RA Central;9;Demais municípios;8;DRS Araraquara;35034;Coração do DRS III
3549003;São Francisco;75,579;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3549102;São João da Boa Vista;516,399;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3549201;São João das Duas Pontes;129,462;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3549250;São João de Iracema;178,396;10;RA Araçatuba;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3549300;São João do Pau d'Alho;117,665;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3549409;São Joaquim da Barra;410,863;15;RA Franca;9;Demais municípios;4;DRS Franca;35082;Alta Anhanguera
3549508;São José da Bela Vista;276,952;15;RA Franca;9;Demais municípios;4;DRS Franca;35081;Três Colinas
3549607;São José do Barreiro;570,685;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3549706;São José do Rio Pardo;419,684;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35143;Rio Pardo
3549805;São José do Rio Preto;431,944;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3549904;São José dos Campos;1099,409;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35171;Alto Vale do Paraíba
3549953;São Lourenço da Serra;186,456;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3550001;São Luiz do Paraitinga;617,315;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3550100;São Manuel;650,734;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3550209;São Miguel Arcanjo;930,339;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3550308;São Paulo;1521,202;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35016;São Paulo
3550407;São Pedro;611,278;6;RA Campinas;9;RM Piracicaba;11;DRS Piracicaba;35103;Piracicaba
3550506;São Pedro do Turvo;731,221;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3550605;São Roque;306,908;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3550704;São Sebastião;402,395;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35173;Litoral Norte
3550803;São Sebastião da Grama;252,41;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35143;Rio Pardo
3550902;São Simão;617,252;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3551009;São Vicente;148,151;3;RA Santos;2;RM Baixada Santista;13;DRS Baixada Santista;35041;Baixada Santista
3551108;Sarapuí;352,592;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3551207;Sarutaiá;141,608;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3551306;Sebastianópolis do Sul;167,848;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3551405;Serra Azul;283,144;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3551504;Serrana;126,046;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35132;Aquífero Guarani
3551603;Serra Negra;203,734;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35074;Circuito das Águas
3551702;Sertãozinho;403,089;7;RA Ribeirão Preto;6;RM Ribeirão Preto;1;DRS Ribeirão Preto;35131;Horizonte Verde
3551801;Sete Barras;1062,699;2;RA Registro;9;Demais municípios;9;DRS Registro;35121;Vale do Ribeira
3551900;Severínia;140,46;14;RA Barretos;9;RM São José do Rio Preto;16;DRS Barretos;35051;Norte - Barretos
3552007;Silveiras;414,782;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35172;Circuito da Fé e Vale Histórico
3552106;Socorro;449,029;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3552205;Sorocaba;449,872;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3552304;Sud Mennucci;594,744;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3552403;Sumaré;153,465;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3552502;Suzano;206,236;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35011;Alto do Tietê
3552551;Suzanápolis;330,587;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35022;Lagos do DRS II
3552601;Tabapuã;345,792;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35151;Catanduva
3552700;Tabatinga;368,604;13;RA Central;9;Demais municípios;8;DRS Araraquara;35032;Centro Oeste do DRS III
3552809;Taboão da Serra;20,388;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3552908;Taciba;606,766;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3553005;Taguaí;145,332;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3553104;Taiaçu;107,059;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35052;Sul - Barretos
3553203;Taiúva;132,459;14;RA Barretos;6;RM Ribeirão Preto;16;DRS Barretos;35052;Sul - Barretos
3553302;Tambaú;561,788;6;RA Campinas;6;RM Ribeirão Preto;14;DRS São João da Boa Vista;35142;Mantiqueira
3553401;Tanabi;747,218;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3553500;Tapiraí;755,101;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3553609;Tapiratiba;221,891;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35143;Rio Pardo
3553658;Taquaral;53,892;7;RA Ribeirão Preto;6;RM Ribeirão Preto;16;DRS Barretos;35052;Sul - Barretos
3553708;Taquaritinga;594,335;13;RA Central;9;Demais municípios;8;DRS Araraquara;35033;Norte do DRS III
3553807;Taquarituba;448,515;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3553856;Taquarivaí;231,792;16;RA Itapeva;9;Demais municípios;6;DRS Sorocaba;35162;Itapeva
3553906;Tarabai;201,385;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35112;Alta Sorocabana
3553955;Tarumã;302,913;12;RA Marília;9;Demais municípios;5;DRS Marília;35092;Assis
3554003;Tatuí;523,749;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35161;Itapetininga
3554102;Taubaté;625,003;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3554201;Tejupá;296,189;16;RA Itapeva;9;Demais municípios;12;DRS Bauru;35061;Vale do Jurumirim
3554300;Teodoro Sampaio;1555,803;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35115;Pontal do Paranapanema
3554409;Terra Roxa;221,541;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35052;Sul - Barretos
3554508;Tietê;404,396;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3554607;Timburi;196,79;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3554656;Torre de Pedra;71,348;5;RA Sorocaba;9;Demais municípios;12;DRS Bauru;35063;Polo Cuesta
3554706;Torrinha;315,267;6;RA Campinas;9;Demais municípios;12;DRS Bauru;35064;Jaú
3554755;Trabiju;63,421;13;RA Central;9;Demais municípios;8;DRS Araraquara;35031;Central do DRS III
3554805;Tremembé;191,094;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35174;Vale do Paraíba/Região Serrana
3554904;Três Fronteiras;151,594;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35152;Santa Fé do Sul
3554953;Tuiuti;126,731;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3555000;Tupã;627,986;12;RA Marília;9;Demais municípios;5;DRS Marília;35095;Tupã
3555109;Tupi Paulista;244,77;11;RA Presidente Prudente;9;Demais municípios;2;DRS Presidente Prudente;35111;Alta Paulista
3555208;Turiúba;153,235;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35023;Consórcios do DRS II
3555307;Turmalina;147,797;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35154;Fernandópolis
3555356;Ubarana;209,861;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3555406;Ubatuba;708,105;4;RA São José dos Campos;4;RM Vale Paraíba e Litoral Norte;17;DRS Taubaté;35173;Litoral Norte
3555505;Ubirajara;282,179;8;RA Bauru;9;Demais municípios;5;DRS Marília;35093;Marília
3555604;Uchoa;252,434;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35155;São José do Rio Preto
3555703;União Paulista;79,056;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3555802;Urânia;209,262;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3555901;Uru;146,901;8;RA Bauru;9;Demais municípios;12;DRS Bauru;35065;Lins
3556008;Urupês;323,916;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35151;Catanduva
3556107;Valentim Gentil;149,741;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3556206;Valinhos;148,538;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3556305;Valparaíso;857,661;10;RA Araçatuba;9;Demais municípios;7;DRS Araçatuba;35021;Central do DRS II
3556354;Vargem;142,595;6;RA Campinas;9;Demais municípios;3;DRS Campinas;35071;Bragança
3556404;Vargem Grande do Sul;267,178;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35142;Mantiqueira
3556453;Vargem Grande Paulista;42,489;1;RM  São Paulo;1;RM São Paulo;10;DRS Grande São Paulo;35013;Mananciais
3556503;Várzea Paulista;35,12;6;RA Campinas;9;RM Jundiaí;3;DRS Campinas;35073;Jundiaí
3556602;Vera Cruz;247,716;12;RA Marília;9;Demais municípios;5;DRS Marília;35093;Marília
3556701;Vinhedo;80,95;6;RA Campinas;3;RM Campinas;3;DRS Campinas;35072;Região Metropolitana de Campinas
3556800;Viradouro;217,726;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35052;Sul - Barretos
3556909;Vista Alegre do Alto;95,429;14;RA Barretos;9;Demais municípios;16;DRS Barretos;35052;Sul - Barretos
3556958;Vitória Brasil;49,832;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35153;Jales
3557006;Votorantim;184,186;5;RA Sorocaba;5;RM Sorocaba;6;DRS Sorocaba;35163;Sorocaba
3557105;Votuporanga;420,703;9;RA São José do Rio Preto;9;Demais municípios;15;DRS São José do Rio Preto;35157;Votuporanga
3557154;Zacarias;319,056;9;RA São José do Rio Preto;9;RM São José do Rio Preto;15;DRS São José do Rio Preto;35156;José Bonifácio
3557204;Chavantes;188,727;12;RA Marília;9;Demais municípios;5;DRS Marília;35094;Ourinhos
3557303;Estiva Gerbi;74,144;6;RA Campinas;9;Demais municípios;14;DRS São João da Boa Vista;35141;Baixa Mogiana
